ticker,cluster_start,cluster_end,n_insiders,total_shares,total_value,car_5d,car_10d,car_20d,car_30d
ABT,2026-04-27,2026-05-07,2,12000.0,1100177.0,-0.0469,-0.0065,0.0385,-0.0107
ADSK,2026-06-15,2026-06-23,3,6960.0,1371118.5999999999,0.0119,0.0753,,
ALGN,2025-07-31,2025-08-01,2,7618.0,1000736.7745999999,-0.0003,0.0084,0.0023,-0.103
ARE,2026-04-30,2026-05-06,2,28500.0,1221673.9500000002,0.0199,0.0337,0.1274,0.0932
BSX,2026-05-19,2026-05-20,3,9800.0,553999.7949999999,-0.1514,-0.1594,-0.2108,-0.2291
CDW,2026-05-18,2026-05-27,2,22830.0,2505137.85,0.1973,0.1657,0.1401,0.2559
CHTR,2026-04-28,2026-04-28,3,13664.0,2365149.4264,-0.1029,-0.1827,-0.2043,-0.2233
COO,2025-12-16,2025-12-22,4,6014.0,496415.54000000004,-0.0195,-0.0062,-0.0185,-0.0341
COR,2026-06-18,2026-06-22,2,4550.0,1245386.5,0.0428,0.1179,,
ECL,2026-06-10,2026-06-11,2,8750.0,2263331.0,0.0088,0.0882,,
EXE,2026-06-04,2026-06-12,2,4000.0,368020.0,-0.01,-0.0155,,
FISV,2026-06-16,2026-06-17,6,34781.0,1723401.25,-0.019,0.0653,,
GEHC,2026-04-30,2026-05-08,6,92034.0,5680971.363500001,-0.0448,0.0011,0.0167,0.0069
GEHC,2026-05-12,2026-05-22,2,11618.0,742164.5400000002,-0.0413,0.0155,0.0057,0.0048
J,2026-05-08,2026-05-15,2,4257.0,477650.157,0.0324,0.0905,0.1096,0.1309
JKHY,2026-05-14,2026-05-14,2,2375.0,317135.0,0.0485,0.006,-0.0304,0.0318
KKR,2026-02-09,2026-02-17,4,343872.0,35367546.3,-0.0732,-0.1133,-0.1148,-0.053
KKR,2026-02-27,2026-03-04,4,172225.0,15563586.0,-0.0586,0.0005,0.0147,0.0604
NCLH,2026-05-07,2026-05-11,3,55867.0,966486.2100000001,-0.0787,0.0161,0.1508,0.2728
NCLH,2026-05-18,2026-05-22,3,198000.0,3204860.0,0.0907,0.1466,0.2646,0.1309
NKE,2025-12-22,2025-12-29,3,75079.0,4449886.94,0.0619,0.0745,0.0058,0.0126
NKE,2026-04-07,2026-04-13,4,64441.622,2734111.896555,0.0502,0.0096,-0.0897,-0.0467
PAYX,2026-02-04,2026-02-04,2,2000.0,197258.0,-0.0454,-0.0599,0.0061,-0.0303
PODD,2026-06-03,2026-06-03,2,6240.0,897882.8999999999,0.0899,0.0191,0.1578,
SPG,2026-06-30,2026-06-30,11,2387.0,533051.1900000001,-0.0186,,,
SPGI,2026-04-29,2026-05-01,3,5973.996,2576773.28388,-0.0375,-0.0795,-0.0444,-0.0498
TKO,2026-05-13,2026-05-14,4,29508.0,5487493.5,0.0028,0.0548,0.065,0.1106
TPL,2026-06-11,2026-06-18,2,10.0,3720.58,0.1383,0.1282,,
WAT,2026-03-06,2026-03-16,2,1500.0,451070.0,0.0584,0.0644,0.1004,-0.0297
WTW,2026-05-04,2026-05-06,2,3896.0,1009500.04,-0.0523,-0.0036,-0.0072,-0.0092
ZTS,2026-05-11,2026-05-13,3,11650.0,886366.9,0.0737,0.0363,0.1011,0.039
