ticker,owner_name,owner_title,is_director,is_officer,transaction_date,shares,price_per_share,acquired_disposed,transaction_code,filing_date
A,Dolsten Mikael,,True,False,2025-12-01,2600.0,149.812,D,S,2025-12-03
A,RIEMANN ANGELICA,Senior Vice President,False,True,2026-02-27,89.0,121.38,D,F,2026-03-03
A,MCDONNELL PADRAIG,President and CEO,True,True,2026-02-27,279.0,121.38,D,F,2026-03-03
A,KIRKWOOD JONAH PREVOST,Senior Vice President,False,True,2026-02-27,124.0,121.38,D,F,2026-03-03
A,Rataj Sue H.,,True,False,2026-03-19,2158.0,111.75,A,A,2026-03-23
A,BRAWLEY OTIS W,,True,False,2026-03-19,2158.0,111.75,A,A,2026-03-23
A,BRAWLEY OTIS W,,True,False,2026-03-19,888.0,111.75,A,A,2026-03-23
A,SCANGOS GEORGE A,,True,False,2026-03-19,2158.0,111.75,A,A,2026-03-23
A,SCANGOS GEORGE A,,True,False,2026-03-19,1057.0,111.75,A,A,2026-03-23
A,Soriot Pascal,,True,False,2026-03-19,2158.0,111.75,A,A,2026-03-23
A,Soriot Pascal,,True,False,2026-03-19,648.0,111.75,D,F,2026-03-23
A,WILSON DOW R,,True,False,2026-03-19,2158.0,111.75,A,A,2026-03-23
A,Podolsky Daniel K,,True,False,2026-03-19,2158.0,111.75,A,A,2026-03-23
A,KOH BOON HWEE,,True,False,2026-03-19,2158.0,111.75,A,A,2026-03-23
A,KOH BOON HWEE,,True,False,2026-03-19,648.0,111.75,D,F,2026-03-23
A,Dolsten Mikael,,True,False,2026-03-19,2158.0,111.75,A,A,2026-03-23
A,Brown Judy L,,True,False,2026-03-19,2158.0,111.75,A,A,2026-03-23
A,Anand Mala,,True,False,2026-03-19,2158.0,111.75,A,A,2026-03-23
A,Henson Meghan,Senior Vice President,False,True,2026-03-31,153.0,113.98,D,F,2026-04-02
A,MAY SIMON,Senior Vice President,False,True,2026-05-08,368.0,115.62,D,F,2026-05-12
A,Buckner Michael Steven,Senior Vice President,False,True,2026-05-19,8872.0,0.0,A,A,2026-05-21
A,Dolsten Mikael,,True,False,2026-05-29,1600.0,135.42,D,S,2026-06-02
A,MCDONNELL PADRAIG,President and CEO,True,True,2026-06-03,418.0,137.4,D,F,2026-06-05
A,KIRKWOOD JONAH PREVOST,Senior Vice President,False,True,2026-06-26,30.0,136.01,D,F,2026-06-29
AAPL,WAGNER SUSAN,,True,False,2026-02-01,1255.0,,A,M,2026-02-03
AAPL,LEVINSON ARTHUR D,,True,False,2026-02-26,1113.0,0.0,D,G,2026-02-26
AAPL,Newstead Jennifer,"SVP, GC and Secretary",False,True,2026-03-15,60208.0,,A,M,2026-03-17
AAPL,Newstead Jennifer,"SVP, GC and Secretary",False,True,2026-03-15,32528.0,250.12,D,F,2026-03-17
AAPL,O'BRIEN DEIRDRE,Senior Vice President,False,False,2026-04-01,64317.0,,A,M,2026-04-03
AAPL,O'BRIEN DEIRDRE,Senior Vice President,False,False,2026-04-01,34315.0,255.63,D,F,2026-04-03
AAPL,Khan Sabih,COO,False,False,2026-04-01,64317.0,,A,M,2026-04-03
AAPL,Khan Sabih,COO,False,False,2026-04-01,33317.0,255.63,D,F,2026-04-03
AAPL,COOK TIMOTHY D,Chief Executive Officer,False,False,2026-04-01,131576.0,,A,M,2026-04-03
AAPL,COOK TIMOTHY D,Chief Executive Officer,False,False,2026-04-01,66627.0,255.63,D,F,2026-04-03
AAPL,O'BRIEN DEIRDRE,Senior Vice President,False,False,2026-04-02,20338.0,255.12,D,S,2026-04-03
AAPL,O'BRIEN DEIRDRE,Senior Vice President,False,False,2026-04-02,9664.0,255.82,D,S,2026-04-03
AAPL,COOK TIMOTHY D,Chief Executive Officer,False,False,2026-04-02,5087.0,251.25,D,S,2026-04-03
AAPL,COOK TIMOTHY D,Chief Executive Officer,False,False,2026-04-02,9147.0,252.11,D,S,2026-04-03
AAPL,COOK TIMOTHY D,Chief Executive Officer,False,False,2026-04-02,1878.0,253.13,D,S,2026-04-03
AAPL,COOK TIMOTHY D,Chief Executive Officer,False,False,2026-04-02,16083.0,254.37,D,S,2026-04-03
AAPL,COOK TIMOTHY D,Chief Executive Officer,False,False,2026-04-02,28188.0,255.17,D,S,2026-04-03
AAPL,COOK TIMOTHY D,Chief Executive Officer,False,False,2026-04-02,4566.0,256.0,D,S,2026-04-03
AAPL,Borders Ben,Principal Accounting Officer,False,False,2026-04-15,1717.0,,A,M,2026-04-17
AAPL,Borders Ben,Principal Accounting Officer,False,False,2026-04-15,892.0,266.43,D,F,2026-04-17
AAPL,Parekh Kevan,"Senior Vice President, CFO",False,False,2026-04-15,10928.0,,A,M,2026-04-17
AAPL,Parekh Kevan,"Senior Vice President, CFO",False,False,2026-04-15,4793.0,266.43,D,F,2026-04-17
AAPL,Parekh Kevan,"Senior Vice President, CFO",False,False,2026-04-23,1534.0,275.0,D,S,2026-04-27
AAPL,LEVINSON ARTHUR D,,False,False,2026-05-06,149527.0,284.57,D,S,2026-05-08
AAPL,LEVINSON ARTHUR D,,False,False,2026-05-06,100473.0,285.04,D,S,2026-05-08
AAPL,LEVINSON ARTHUR D,,False,False,2026-05-06,5000.0,0.0,D,G,2026-05-08
AAPL,Borders Ben,Principal Accounting Officer,False,False,2026-05-08,1274.0,290.0,D,S,2026-05-12
AAPL,LEVINSON ARTHUR D,,False,False,2026-05-27,50000.0,311.02,D,S,2026-05-29
AAPL,LEVINSON ARTHUR D,,False,False,2026-05-27,65000.0,0.0,D,G,2026-05-29
AAPL,Newstead Jennifer,"SVP, GC and Secretary",False,False,2026-06-15,30104.0,,A,M,2026-06-17
AAPL,Newstead Jennifer,"SVP, GC and Secretary",False,False,2026-06-15,16238.0,296.42,D,F,2026-06-17
AAPL,Borders Ben,Principal Accounting Officer,False,False,2026-06-15,240.0,,A,M,2026-06-17
AAPL,Borders Ben,Principal Accounting Officer,False,False,2026-06-15,124.0,296.42,D,F,2026-06-17
AAPL,Borders Ben,Principal Accounting Officer,False,False,2026-06-16,116.0,295.14,D,S,2026-06-17
ABBV,Crum Demetris D,"EVP, CHIEF HR OFFICER",False,False,2026-02-27,1594.0,232.08,D,F,2026-03-06
ABBV,Thakkar Roopal,"EVP, R&D and CSO",False,False,2026-02-27,8037.0,232.08,D,F,2026-03-03
ABBV,Michael Robert A.,CHAIRMAN OF THE BOARD AND CEO,False,False,2026-02-27,36523.0,232.08,D,F,2026-03-03
ABBV,Purdue David Ryan,"SVP, Controller",False,False,2026-03-04,5230.0,233.56,D,S,2026-03-06
ABBV,FALK THOMAS J,,False,False,2026-05-08,1118.0,0.0,A,A,2026-05-12
ABBV,WADDELL FREDERICK H,,False,False,2026-05-08,1118.0,0.0,A,A,2026-05-12
ABBV,Roberts Rebecca B,,False,False,2026-05-08,1118.0,0.0,A,A,2026-05-12
ABBV,RAPP EDWARD J,,False,False,2026-05-08,1118.0,0.0,A,A,2026-05-12
ABBV,Quaggin Susan E,,False,False,2026-05-08,1118.0,0.0,A,A,2026-05-12
ABBV,MEYER MELODY B,,False,False,2026-05-08,1118.0,0.0,A,A,2026-05-12
ABBV,Hart Brett J,,False,False,2026-05-08,1118.0,0.0,A,A,2026-05-12
ABBV,FREYMAN THOMAS C,,False,False,2026-05-08,1118.0,0.0,A,A,2026-05-12
ABBV,Davis Jennifer L.,,False,False,2026-05-08,1118.0,0.0,A,A,2026-05-12
ABBV,BURNSIDE WILLIAM H.L.,,False,False,2026-05-08,1118.0,0.0,A,A,2026-05-12
ABBV,AUSTIN ROXANNE S,,False,False,2026-05-08,1118.0,0.0,A,A,2026-05-12
ABNB,Ahuja Amrita,,False,False,2026-05-25,2946.0,0.0,A,A,2026-05-27
ABNB,JORDAN JEFFREY D,,False,False,2026-05-25,3003.0,0.0,A,A,2026-05-27
ABNB,Manyika James,,False,False,2026-05-25,2927.0,0.0,A,A,2026-05-27
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-27,1787.0,131.9577,D,S,2026-05-29
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-27,94050.0,132.5199,D,S,2026-05-29
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-27,94832.0,133.3707,D,S,2026-05-29
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-27,38881.0,134.2002,D,S,2026-05-29
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-27,8033.0,132.5436,D,S,2026-05-29
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-27,8833.0,133.3827,D,S,2026-05-29
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-27,3134.0,134.1815,D,S,2026-05-29
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-28,1249.0,129.824,D,S,2026-05-29
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-28,18458.0,130.8468,D,S,2026-05-29
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-28,151214.0,131.5574,D,S,2026-05-29
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-28,37696.0,132.6062,D,S,2026-05-29
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-28,12556.0,133.4792,D,S,2026-05-29
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-28,44573.0,134.4372,D,S,2026-05-29
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-29,500.0,132.954,D,S,2026-06-02
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-29,32257.0,133.474,D,S,2026-06-02
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-29,34160.0,134.4097,D,S,2026-06-02
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-29,37020.0,135.1985,D,S,2026-06-02
ABNB,Chesky Brian,CEO and Chairman,False,False,2026-05-29,4774.0,135.1611,D,S,2026-06-02
ABNB,Gebbia Joseph,,False,False,2026-06-01,11600.0,132.5186,D,S,2026-06-03
ABNB,Gebbia Joseph,,False,False,2026-06-01,49400.0,133.4867,D,S,2026-06-03
ABNB,Gebbia Joseph,,False,False,2026-06-01,48600.0,134.5158,D,S,2026-06-03
ABNB,Gebbia Joseph,,False,False,2026-06-01,54099.0,135.3717,D,S,2026-06-03
ABNB,Gebbia Joseph,,False,False,2026-06-01,25050.0,136.352,D,S,2026-06-03
