ticker,owner_name,owner_title,is_director,is_officer,transaction_date,shares,price_per_share,acquired_disposed,transaction_code,filing_date
MMM,Bauer Wendy A,Group President,False,True,2026-07-01,7952.0,159.96,A,M,2026-07-02
MMM,Bauer Wendy A,Group President,False,True,2026-07-01,3558.0,159.96,D,F,2026-07-02
MMM,RUMSEY JENNIFER,,True,False,2026-06-05,1195.997,152.77,A,A,2026-06-09
MMM,Sweet Thomas W,,True,False,2026-05-12,1360.402,143.34,A,A,2026-05-13
MMM,Kereere Suzan,,True,False,2026-05-12,1360.402,143.34,A,A,2026-05-13
MMM,Chow Anne H,,True,False,2026-05-12,1360.402,143.34,A,A,2026-05-13
MMM,BROWN THOMAS K,,True,False,2026-05-12,1360.402,143.34,A,A,2026-05-13
MMM,Fitterling James R,,True,False,2026-05-12,1360.402,143.34,A,A,2026-05-13
MMM,Bozeman David P,,True,False,2026-05-12,1360.402,143.34,A,A,2026-05-13
MMM,Choi Audrey,,True,False,2026-05-12,1360.402,143.34,A,A,2026-05-13
MMM,Mitchill Neil G. JR,,True,False,2026-05-12,1360.402,143.34,A,A,2026-05-13
MMM,PIZARRO PEDRO,,True,False,2026-05-12,1360.402,143.34,A,A,2026-05-13
MMM,Reinseth Theresa E,Sr Vice President & CAO,False,True,2026-05-01,1441.0,142.5,A,M,2026-05-04
MMM,Reinseth Theresa E,Sr Vice President & CAO,False,True,2026-05-01,517.0,142.5,D,F,2026-05-04
MMM,Brown William M,Chairman & CEO,False,True,2026-05-01,8578.0,142.5,A,M,2026-05-04
MMM,Brown William M,Chairman & CEO,False,True,2026-05-01,3912.0,142.5,D,F,2026-05-04
MMM,Banovetz John Patrick,Executive Vice President,False,True,2026-05-01,13420.0,142.5,A,M,2026-05-04
MMM,Banovetz John Patrick,Executive Vice President,False,True,2026-05-01,6120.0,142.5,D,F,2026-05-04
MMM,Goralski Christian T JR,Group President,False,True,2024-05-30,9.0,97.257,A,P,2026-04-09
MMM,Goralski Christian T JR,Group President,False,True,2024-06-27,3.0,103.209,A,P,2026-04-09
MMM,Goralski Christian T JR,Group President,False,True,2024-08-15,3.0,127.037,A,P,2026-04-09
MMM,Goralski Christian T JR,Group President,False,True,2024-10-23,2.0,127.99,A,P,2026-04-09
MMM,Dickson Zoe L,EVP & Chief HR Officer,False,True,2026-04-01,984.0,145.25,A,M,2026-04-02
MMM,Dickson Zoe L,EVP & Chief HR Officer,False,True,2026-04-01,449.0,145.25,D,F,2026-04-02
MMM,Reinseth Theresa E,Sr Vice President & CAO,False,True,2026-02-11,1796.0,172.7901,D,S,2026-02-12
MMM,Reinseth Theresa E,Sr Vice President & CAO,False,True,2026-02-11,3349.0,154.69,A,M,2026-02-12
MMM,Reinseth Theresa E,Sr Vice President & CAO,False,True,2026-02-11,1123.0,172.72,D,S,2026-02-12
MMM,Reinseth Theresa E,Sr Vice President & CAO,False,True,2026-02-11,1946.0,172.73,D,S,2026-02-12
